battery_percent,battery_voltage,flight_mode,landed_state,heading,altitude,latitude,longitude,timestamp,elapsed_seconds,elapsed_minutes,easting,northing
65.99999666000001,23.15600204,stabilized,on_ground,73.36399078,6.436000347,40.6338431,-8.6601997,1596200514063,0.0,0.0,13.408517038183769,65.52557180434954
65.99999666000001,23.15600204,stabilized,on_ground,73.36014557,6.43900013,40.633843,-8.6601996,1596200514264,0.201,0.00335,13.415476955160557,65.51896673729658
65.99999666000001,23.15600204,stabilized,on_ground,73.35030365,6.436000347,40.6338429,-8.6601995,1596200514464,0.401,0.006683333333333334,13.423110558674535,65.50851065033682
65.99999666000001,23.15400124,stabilized,on_ground,73.3340683,6.434000492,40.6338429,-8.6601993,1596200514665,0.602,0.010033333333333333,13.44006870579205,65.50719598995059
65.99999666000001,23.15400124,stabilized,on_ground,73.32566833,6.43200016,40.6338428,-8.6601992,1596200514868,0.805,0.013416666666666667,13.447590081564481,65.49738143371532
65.99999666000001,23.15400124,stabilized,on_ground,73.32987213,6.430000305,40.6338427,-8.6601991,1596200515071,1.008,0.0168,13.455111404140053,65.48756718458995
65.99999666000001,23.15400124,stabilized,on_ground,73.33639526,6.43200016,40.6338427,-8.6601991,1596200515272,1.209,0.02015,13.454886842154197,65.48885085789608
65.99999666000001,23.15400124,stabilized,on_ground,73.35771942,6.43200016,40.6338427,-8.660199,1596200515472,1.409,0.023483333333333335,13.463253634545405,65.48883536435602
65.99999666000001,23.16300201,stabilized,on_ground,73.360466,6.431000233,40.6338426,-8.660199,1596200515673,1.61,0.026833333333333334,13.462295883221572,65.47967844468499
65.99999666000001,23.16300201,stabilized,on_ground,73.3553009,6.425000191,40.6338426,-8.6601991,1596200515874,1.811,0.030183333333333333,13.454602830321754,65.47584261218566
65.99999666000001,23.16300201,stabilized,on_ground,73.34842682,6.415000439,40.6338426,-8.6601991,1596200516074,2.011,0.03351666666666667,13.455725693898815,65.4694239400112
65.99999666000001,23.16300201,stabilized,on_ground,73.33078766,6.408000469,40.6338425,-8.6601991,1596200516276,2.213,0.03688333333333334,13.455441682296746,65.45641569431231
65.99999666000001,23.16300201,stabilized,on_ground,73.33304596,6.402000427,40.6338425,-8.6601992,1596200516477,2.414,0.040233333333333336,13.44774862928297,65.45257986226709
65.99999666000001,23.15800095,stabilized,on_ground,73.32015991,6.39400053,40.6338425,-8.6601993,1596200516678,2.615,0.043583333333333335,13.440280138252595,65.44746035646165
65.99999666000001,23.15800095,stabilized,on_ground,73.33792877,6.386000156,40.6338425,-8.6601994,1596200516879,2.816,0.04693333333333333,13.432811700991328,65.44234054452366
65.99999666000001,23.15800095,stabilized,on_ground,73.34482574,6.376000404,40.6338424,-8.6601994,1596200517080,3.017,0.05028333333333333,13.432864532078234,65.42740678909264
65.99999666000001,23.15800095,stabilized,on_ground,73.34804535,6.365000248,40.6338424,-8.6601995,1596200517280,3.217,0.05361666666666667,13.425732937969144,65.42036146743406
65.99999666000001,23.15800095,stabilized,on_ground,73.35345459,6.360000134,40.6338424,-8.6601996,1596200517481,3.418,0.056966666666666665,13.417927603670176,65.41716747228045
65.99999666000001,23.15600204,stabilized,on_ground,73.3321991,6.358000278,40.6338424,-8.6601996,1596200517682,3.619,0.06031666666666667,13.418152165997908,65.41588379807769
65.99999666000001,23.15600204,stabilized,on_ground,73.2827301,6.353000164,40.6338424,-8.6601997,1596200517883,3.8200000000000003,0.06366666666666668,13.410346832055554,65.4126898028895
65.99999666000001,23.15600204,stabilized,on_ground,73.37724304,6.346000195,40.6338424,-8.6601997,1596200518084,4.021,0.06701666666666667,13.411132852713266,65.40819664043565
65.99999666000001,23.15600204,stabilized,on_ground,73.25245667,6.342000484,40.6338424,-8.6601997,1596200518285,4.222,0.07036666666666667,13.411581976796478,65.40562929338084
65.99999666000001,23.15600204,stabilized,on_ground,73.35241699,6.336000443,40.6338425,-8.6601998,1596200518486,4.423,0.07371666666666667,13.4049589561589,65.41030854504626
63.99999857,23.10900116,stabilized,on_ground,73.37992096,6.331000328,40.6338425,-8.6601998,1596200518687,4.624,0.07706666666666666,13.405520414833212,65.40709905495575
63.99999857,23.10900116,stabilized,on_ground,73.49847412,6.329000473,40.6338425,-8.6601998,1596200518888,4.825,0.08041666666666666,13.405744976816612,65.40581538212678
63.99999857,23.10900116,stabilized,on_ground,73.51831818,6.329000473,40.6338425,-8.6601998,1596200519089,5.026,0.08376666666666666,13.405744976816612,65.40581538212678
63.99999857,23.10900116,stabilized,on_ground,73.5890274,6.330000401,40.6338425,-8.6601998,1596200519290,5.227,0.08711666666666668,13.40563269588312,65.40645721854126
63.99999857,23.10900116,stabilized,on_ground,73.61437225,6.331000328,40.6338425,-8.6601998,1596200519491,5.428,0.09046666666666667,13.405520414833212,65.40709905495575
63.99999857,23.10500145,stabilized,on_ground,73.71115112,6.328000069,40.6338426,-8.6601999,1596200519692,5.6290000000000004,0.09381666666666667,13.39856055115987,65.41370381541053
63.99999857,23.10500145,stabilized,on_ground,73.62506104,6.326000214,40.6338426,-8.6601999,1596200519893,5.83,0.09716666666666667,13.398785113143271,65.41242014211593
63.99999857,23.10500145,stabilized,on_ground,73.72290039,6.317000389,40.6338426,-8.6602,1596200520094,6.031,0.10051666666666666,13.391428903398088,65.4066587998845
63.99999857,23.10500145,stabilized,on_ground,73.7532196,6.300000191,40.6338426,-8.6602001,1596200520295,6.232,0.10386666666666666,13.384971048896803,65.39576215265215
